2016-09-24 13:55:05, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[44]------ =====签名报文结束====== 
2016-09-24 13:55:05, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[101]------ 后台请求地址为>https://101.231.204.80:5000/gateway/api/backTransReq.do 
2016-09-24 13:55:05, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[102]------ 后台请求报文为>version=5.0.0&encoding=utf-8&signMethod=01&txnType=11&txnSubType=00&bizType=000501&accessType=0&channelType=07&currencyCode=156&backUrl=http%3A%2F%2F222.222.222.222%2Fupacp_demo_dk%2Fdemo%2Fapi_09_dk%2FBackReceive.php&encryptCertId=68759585097&merId=777290058138272&orderId=1234567890123&txnTime=20160924105000&txnAmt=1000&accNo=BheVjVToT%2BZZmX6s%2FVMzLN06sWOj6gsTAs6MEQ5RDWt%2FnVM%2FO7PSg7TeiaoTiYli9v6%2FjEA6mWn5Nf9keHbC5A6Y9w1jXVOOJEa8FmOsDzIUWIn4S7Um70YkgNg%2FGag%2FD658%2BLJHz%2FDHaQFJgcxMF4DLF7IzcJbfCWcscgOHQMU4c8X3%2FsC9wZWpHpIm0I0NR13PrlUjiOp%2BTAzyFPJx6M255E%2B%2FDnL3zwIfg3n%2FVZdFMhs0zRi9Mz0qIJNGwJPEwifldCUT9O4fToZfZf0vPUIZ4DI43upMlvcGBkj0oFBTxEurcJQePE1viZhzQ%2FgjRey8g2NtS2Yys4hH32ewNQ%3D%3D&customerInfo=e2NlcnRpZlRwPTAxJmNlcnRpZklkPTM0MTEyNjE5NzcwOTIxODM2NiZjdXN0b21lck5tPeWFqOa4oOmBkyZlbmNyeXB0ZWRJbmZvPWM1aGFJK001UDJKbmlRU2oyT2prTVNUN0svaUFTY0xYT2JyeGxoTGlQRVNFMjVJUUFiV3pqVFZ2cEJPdWhqOGQySUhWSTY0MklrOVN4MHQyTkVVRHJRaXNFUXNGZ0NVUlhRK3VuRHY1RmRBeno3TUVHWHBHOEZzTnp2ZkpOTUVmZm5jU3lSdW1Uclc1dWd0ZStIcHA1aWhEYTNtTjMwSTlzRXJZdENXNE45NHpSZFp3N2tKWjBRc1N1eVl6MXpnOXMzaE55eWxyeUQ4VXBZS2dwdWg5S29FZDdmQlpjUmFWMFAwL1VaZndkYjJTemhsSmI5bVZmZWYrOTQ3TjVKMUV0NHgwbHg5L2FuTCtjSUlQeVNsb2lBUmF6SWJSaDN3WlVBNHRYcGpsS3UySmE3TnkrN3hEbjVVVmNpQUxlZ0VMb3ZhWlJlRVBSMkxKQ1pyZ1c1SDhNQT09fQ%3D%3D&certId=40220995861346480087409489142384722381&signature=IhR75%2FHzQuL7hJzwhSAzrS100RkcgOj6vWDImygIOVGwttEfWERIY6SjArfunU2IIHKrAqMyLTiWhtwXWjoZx0zgsdD%2Bla5RCgbPoalfZQkIx%2BPeRx8KxL6Qo%2BS%2BcjiE1dV6wrKskBNqtoJYo4xuIJSS9iq0vb0WMc8CstfyPJg%3D 
2016-09-24 13:55:06, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[116]------ 后台返回结果为> 
2016-09-24 13:55:06, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[121]------ 请求失败，报错信息>SSL read: error:00000000:lib(0):func(0):reason(0), errno 54 
2016-09-24 13:58:30, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[85]------ 读取加密证书…… 
2016-09-24 13:58:30, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[105]------ 加密证书读取成功，序列号：68759585097 
2016-09-24 13:58:30, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[37]------ 读取签名证书…… 
2016-09-24 13:58:30, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[62]------ 签名证书读取成功，序列号：40220995861346480087409489142384722381 
2016-09-24 13:58:30, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[22]------ =====签名报文开始====== 
2016-09-24 13:58:30, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[28]------ 签名key=val&...串 >accNo=tE1EEjpuwZJK9jPMfrVzVVzsrWBnu3R0WazY+j0HAAJGU9EcF0pIei92UNWKVGst0OVDq7UKxzOYAW4g15l4XEHL4QH+yKLQdslPFM3HxabnAvy5yQFjGLj/2/iD9jPVtInGGw2CO8QrVBmBIgjkjaW8bqAwJvXIUiidojjB/6/iIkjPWB6DX21SNjXO/JTiYpdVQimtRqGm/naHYqKlAQhUNN16HzZs83jJpnIatpllVozXa9eJjuFKvvTXrsuvkYhfnifJUr6Ayxtgm6THtZvI8dzRmVtQw+zVd88vGPFKxKMdkyfNYufyq9WqZkL4qiilQ7lfHq6T/5TPlOuyXg==&accessType=0&backUrl=http://222.222.222.222/upacp_demo_dk/demo/api_09_dk/BackReceive.php&bizType=000501&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&customerInfo=e2NlcnRpZlRwPTAxJmNlcnRpZklkPTM0MTEyNjE5NzcwOTIxODM2NiZjdXN0b21lck5tPeWFqOa4oOmBkyZlbmNyeXB0ZWRJbmZvPUdBSXh1N2pIRGlEM000YzhvNThNMHlrWU9uUFRCbDl6QlNIcFliRDZYbmVvVU5yQlFrODdxWkJzalpwOUN5MTEwazVCTjdDelJ3bTJQeU5ReHFxVE1oRnYvZEpUbEpiNmZTREdFZlVYYU1tN0hjZmhYT0VMT1RZbWJHVkR6UEtNSkF2bEZXZzV1eW1kZ2dsOExZdE5iOWVSL2JLdDM2VDNtcUorNFY0UjJoNVZNTlNmNTBOUlhJVHA1Y3lISVFZUEd0MXV4WkJySlRWUzdTRnZ4ZFJnRHdSOTF0OUpHSzVGTWFVeEtwODdwUndPT1JHelpTQmNJbnpLM2JvYXNYa25FRjdXS3ViSjZ5QWRWQThybW85Rm1KMThRSFJ5TU1CUDVCNlUwRFdmZll6b25nSGVlTU9JeUNVV0RJdjk0WlJIa1ZFT2RTQ2JNd3hVUWFnYWw1K3ZTdz09fQ==&encoding=utf-8&encryptCertId=68759585097&merId=777290058138272&orderId=1234567890123&signMethod=01&txnAmt=1000&txnSubType=00&txnTime=20160924105000&txnType=11&version=5.0.0 
2016-09-24 13:58:30, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[31]------ 摘要sha1x16 >95714dd5e063f008fc2b7c7e661e52e73496f837 
2016-09-24 13:58:30, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[39]------ 签名串为 >jikjrYLFzDWcrxPj8Fnh33YrxqnknJdpHbv10K4nkTCSCZM+/ZF/8czdOJG1weIYjo6KS/45GeJruUhubYQkvKVAMue1PZAq1ZOEyRHqBeAoZCtcVVhMtmB22wF1uBBtttzF7ciX1IJdNuYJq8/Z1idlQ66HhZOnohoruozqsZY= 
2016-09-24 13:58:30, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[44]------ =====签名报文结束====== 
